Classifications,Permanent Call Number,Material Type,Author,ISBN,ISSN,Title (Complete),Publication Place,Publisher,Publication Date,Barcode,Replacement cost,
Architecture,NA2700 .S75 1969,Book,"Stegman, George K.",,,Architectural drafting; functional planning and creative design [by] George K. Stegman [and] Harry J. Stegman.,"Chicago,",American Technical Society,[1966],39097001195826,,39097001195826
Architecture,NA2728 .N44,Book,"Negroponte, Nicholas",0262140187; 9780262140188,,Soft architecture machines.,"Cambridge, Mass.,",The MIT Press,[c1975],39097001195842,,39097001195842
Architecture,NA2750 .G72,Book,"Greene, Herb",0813113237; 9780813113234,,Mind & image : an essay on art & architecture / Herb Greene.,Lexington :,University Press of Kentucky,c1976.,39097001195891,,39097001195891
Architecture,NA2750 .H4,Book,"Herbert, Lynden.",0814733611; 9780814733615,,A new language for environmental design.,[New York],New York University Press,1972,39097001195917,,39097001195917
Architecture,NA2750 .K56,Book,"Knowles, Ralph L.",0262110504; 9780262110501,,Energy and form; an ecological approach to urban growth [by] Ralph L. Knowles.,"Cambridge, Mass.,",MIT Press,[1974],39097001195925,,39097001195925
Architecture,NA2750 .M26 1974,Book,"March, Lionel, 1934-",0262630559; 9780262630559,,The geometry of environment : an introduction to spatial organization in design / Lionel March and Philip Steadman.,"Cambridge, Mass. :",MIT Press,"1974, c1971.",39097001195933,,39097001195933
Architecture,NA2760 .B33 1969,Book,"Bandmann, Günter",,,Ikonologie der Architektur.,"Darmstadt,",Wissenschaftliche Buchges,1969,39097001195982,,39097001195982
Architecture,NA2760 .G6,Book,"Goodovitch, Israel M",,,"Architecturology; an interim report, by I. M. Goodovitch.","Tel-Aviv,",Ad Pub Co,[c1967],39097001196006,,39097001196006
Architecture,NA2760 .J413 1968,Book,"Le Corbusier, 1887-1965 author",,,"The modulor: a harmonious measure to the human scale, universally applicable to architecture and mechanics / by Le Corbusier. Translated by Peter de Francia and Anna Bostock.","Cambridge, Mass.:",MIT Press,[1968],39097001196022,,39097001196022
Architecture,NA2760 .L5 1966,Book,"Licklider, Heath.",,,Architectural scale.,"New York,",G Braziller,[1966],39097001196089,,39097001196089
Architecture,NA2760 .M37,Book,"Martienssen, Heather",0192176463; 0192890751; 9780192176462; 9780192890757,,The shapes of structure / Heather Martienssen.,London ;,Oxford University Press,1976,39097001196097,,39097001196097
Architecture,NA2760 .R42,Book,"Reekie, Ronald Fraser.",0844800686; 9780844800684,,Design in the built environment [by] R. Fraser Reekie.,"New York,",Crane Russak,[1972],39097001196105,,39097001196105
Architecture,NA2765 .G513,Book,"Giedion, S. 1888-1968 (Sigfried),",0674043375; 9780674043374,,Architecture and the phenomena of transition; the three space conceptions in architecture.,"Cambridge, Mass.,",Harvard University Press,1971,39097001196139,,39097001196139
Architecture,NA2765 .N67 1971,Book,"Norberg-Schulz, Christian",,,"Existence, space & architecture.","New York,",Praeger,[1971],39097001196147,,39097001196147
Architecture,NA2800 .S3 1964,Book,"Sabine, Wallace Clement, 1868-1919.",,,Collected papers on acoustics. With a new introd. by Frederick V. Hunt.,"New York,",Dover Publications,[1964],39097001196188,,39097001196188
Architecture,NA2810 .H3 1728a,Book,"Halfpenny, William, -1755.",,,"Magnum in parvo; or, The marrow of architecture.","New York,",B Blom,1968,39097001196196,,39097001196196
Architecture,NA2810 .H34 1730a,Book,"Halfpenny, William, -1755.",,,"Practical architecture; or, A sure guide to the true working according to the rules of that science.","New York,",B Blom,[1968],39097001196204,,39097001196204
Architecture,NA2815 .F6,Book,"Forssman, Erik",,,"Dorisch, jonisch, korinthisch; Studien über den Gebrauch der Säulenordnungen in der Architektur des 16.-18. Jahrhunderts.","Stockholm,",Almqvist & Wiksell,[1961],39097001196212,,39097001196212
Architecture,NA2750 .A6815,Book,,052120528X; 9780521205283,,The Architecture of form / edited by Lionel March.,Cambridge ;,Cambridge University Press,1976,39097001197921,,39097001197921
Visual arts,N6921.F7 M6 1939,Book,,,,"Mostra Medicea : Palazzo Medici, Firenze, 1939-XVII : in appendice, Mostra del Libro Mediceo, R. Biblioteca Mediceo Laurenziana.",[Firenze] :,Casa Editrice Marzocco,1939,39097001198556,,39097001198556
Architecture,NA715 .P76,Book,,,,"Processes in architecture : a documentation of six examples : Hayden Gallery, Massachusetts Institute of Technology, Cambridge, Massachusetts, May 18 through June 24, 1979 / sponsored by the MIT Committee on the Visual Arts with the generous support of the Council for the Arts at MIT.","Cambridge, Mass. :",MIT School of Architecture and Planning,1979,39097001199281,,39097001199281
Architecture,NA7125 .S383,Book,"Schoenauer, Norbert, 1923-",0824071727; 9780824071721,,6000 years of housing / by Norbert Schoenauer.,New York :,Garland STPM Press,c1981-,39097001199349,,39097001199349
Visual arts,N70 .M34 1980,Book,"Margolis, Joseph, 1924-",,,Art and philosophy / by Joseph Margolis.,"Atlantic Highlands, N.J. :",Humanities Press,1980,39097001199364,,39097001199364
Architecture,NA2860 .F6,Book,"Forssman, Erik",,,Säule und Ornament; Studien zum Problem des Manierismus in den nordischen Säulenbüchern und Vorlageblättern des 16. und 17. Jahrhunderts.,"Stockholm,",Köln; Almqvist & Wiksell,[1956],39097001199745,,39097001199745
Architecture,NA2860 .P9,Book,"Puchstein, Otto, 1856-1911.",,,Die ionische Säule als klassisches Bauglied orientalischer Herkunft ; ein Vortag von Otto Puchstein. Mit 59 Abbildungen.,"Leipzig,",J C Hinrichs,1907,39097001199752,,39097001199752
Architecture,NA2870 .K3 1970,Book,"Kautzsch, Rudolf, 1868-1945",,,"Kapitellstudien; Beiträge zu einer Geschichte des spätantiken Kapitells im Osten vom vierten bis ins siebente Jahrhundert, von Rudolf Kautzsch, mit 52 Tafeln und 8 Abbildungen.",Berlin [etc.],W de Gruyter & Co,1936 [c1970],39097001199778,,39097001199778
